"Datetime","count"
2022_04_10_16_51_00,1
2022_04_10_16_53_01,0
2022_04_10_16_55_03,0
2022_04_10_16_57_04,1
2022_04_10_16_59_05,0
2022_04_10_17_01_06,0
2022_04_10_17_03_07,0
2022_04_10_17_05_08,0
2022_04_10_17_07_09,0
2022_04_10_17_09_10,0
2022_04_10_17_13_11,0
2022_04_10_17_15_12,0
2022_04_10_18_02_20,0
2022_04_10_18_06_22,1
2022_04_10_18_10_24,0
2022_04_10_18_12_25,0
2022_04_10_18_14_25,0
2022_04_10_18_16_27,0
2022_04_10_18_36_01,0
2022_04_10_18_38_02,1
2022_04_10_18_40_03,0
2022_04_10_18_42_04,0
2022_04_10_18_44_05,0
2022_04_10_18_46_06,0
2022_04_10_18_48_07,0
2022_04_10_18_50_07,0
2022_04_10_18_56_10,0
2022_04_10_18_58_11,0
2022_04_10_19_04_13,0
2022_04_10_19_06_14,0
2022_04_10_19_12_16,0
2022_04_10_19_16_17,0
2022_04_10_19_18_18,0
2022_04_10_19_20_19,0
2022_04_10_19_22_20,0
2022_04_10_19_24_20,1
2022_04_10_19_26_21,0
2022_04_10_19_30_23,0
2022_04_10_19_36_25,0
2022_04_10_19_44_29,0
2022_04_10_19_46_30,0
2022_04_10_19_48_31,0
2022_04_10_19_52_33,0
2022_04_10_19_54_35,0
2022_04_10_20_00_37,0
2022_04_10_20_04_39,0
2022_04_10_20_06_40,0
2022_04_10_20_08_40,0
2022_04_10_20_10_41,0
2022_04_10_20_12_42,0
2022_04_10_20_14_43,0
2022_04_10_20_16_44,0
2022_04_10_20_20_45,0
2022_04_10_20_26_48,0
2022_04_10_20_28_49,0
2022_04_10_20_32_50,0
2022_04_10_20_36_52,0
2022_04_10_20_38_53,0
2022_04_10_20_40_53,0
2022_04_10_20_42_55,0
2022_04_10_20_44_56,1
2022_04_10_20_48_59,1
2022_04_10_20_53_01,0
2022_04_10_20_57_02,0
2022_04_10_21_01_05,1
2022_04_10_21_03_05,0
2022_04_10_21_05_06,0
2022_04_10_21_07_08,0
2022_04_10_21_09_09,0
2022_04_10_21_11_10,0
2022_04_10_21_13_10,0
2022_04_10_21_15_11,0
2022_04_10_21_17_12,0
2022_04_10_21_19_13,0
2022_04_10_21_21_15,0
2022_04_10_21_25_17,0
2022_04_10_21_27_17,0
2022_04_10_21_29_18,0
2022_04_10_21_33_20,0
2022_04_10_21_35_21,0
2022_04_10_21_41_23,2
2022_04_10_21_43_24,0
2022_04_10_21_45_25,0
2022_04_10_21_47_26,0
2022_04_10_21_49_27,0
2022_04_10_21_51_28,0
2022_04_10_21_53_28,1
2022_04_10_21_55_29,1
2022_04_10_22_01_31,0
2022_04_10_22_03_33,1
2022_04_10_22_05_33,2
2022_04_10_22_07_34,0
2022_04_10_22_09_35,0
2022_04_10_22_11_36,0
2022_04_10_22_13_37,0
2022_04_10_22_19_39,0
2022_04_10_22_21_40,1
2022_04_10_22_25_42,1
2022_04_10_22_29_44,0
2022_04_10_22_31_45,0
2022_04_10_22_37_47,3
2022_04_10_22_39_48,0
2022_04_10_22_41_50,3
2022_04_10_22_45_51,2
2022_04_10_22_47_52,1
2022_04_10_22_51_54,2
2022_04_10_22_55_56,2
2022_04_10_22_57_57,0
2022_04_10_22_59_58,1
2022_04_10_23_01_59,1
2022_04_10_23_06_02,1
2022_04_10_23_08_02,0
2022_04_10_23_12_04,0
2022_04_10_23_14_05,2
2022_04_10_23_18_07,2
2022_04_10_23_22_09,2
2022_04_10_23_26_11,1
2022_04_10_23_28_12,0
2022_04_10_23_32_14,3
2022_04_10_23_34_14,4
2022_04_10_23_36_15,3
2022_04_10_23_38_17,1
2022_04_10_23_40_17,1
2022_04_10_23_44_19,4
2022_04_10_23_46_20,7
2022_04_10_23_48_21,11
2022_04_10_23_50_22,9
2022_04_10_23_52_23,10
2022_04_10_23_54_24,9
2022_04_10_23_56_24,12
2022_04_10_23_58_25,9
2022_04_11_00_02_26,12
2022_04_11_00_04_27,7
2022_04_11_00_06_28,11
2022_04_11_00_10_29,5
2022_04_11_00_14_31,7
2022_04_11_00_16_31,12
2022_04_11_00_20_33,8
2022_04_11_00_22_34,6
2022_04_11_00_26_36,6
2022_04_11_00_30_37,8
2022_04_11_00_34_39,9
2022_04_11_00_36_40,9
2022_04_11_00_38_41,5
2022_04_11_00_40_42,11
2022_04_11_00_42_42,9
2022_04_11_00_46_44,6
2022_04_11_00_48_44,7
2022_04_11_00_52_46,9
2022_04_11_00_54_46,5
2022_04_11_00_58_48,5
2022_04_11_01_00_49,7
2022_04_11_01_02_49,9
2022_04_11_01_06_51,7
2022_04_11_01_08_51,8
2022_04_11_01_10_52,9
2022_04_11_01_12_53,8
2022_04_11_01_14_54,12
2022_04_11_01_16_54,7
2022_04_11_01_18_55,9
2022_04_11_01_20_57,12
2022_04_11_01_22_58,10
2022_04_11_01_27_00,11
2022_04_11_01_29_00,12
2022_04_11_01_31_01,16
2022_04_11_01_33_02,10
2022_04_11_01_35_03,10
2022_04_11_01_37_03,7
2022_04_11_01_39_04,9
2022_04_11_01_41_05,12
2022_04_11_01_43_05,11
2022_04_11_01_45_06,11
2022_04_11_01_47_07,9
2022_04_11_01_49_08,11
2022_04_11_01_53_10,7
2022_04_11_01_57_11,9
2022_04_11_01_59_12,12
2022_04_11_02_03_14,8
2022_04_11_02_05_15,13
2022_04_11_02_07_15,11
2022_04_11_02_09_16,14
2022_04_11_02_11_17,7
2022_04_11_02_13_17,16
2022_04_11_02_17_19,11
2022_04_11_02_19_20,9
2022_04_11_02_23_22,11
2022_04_11_02_29_25,15
2022_04_11_02_31_26,11
2022_04_11_02_35_27,12
2022_04_11_02_41_30,7
2022_04_11_02_47_33,6
2022_04_11_02_51_34,12
2022_04_11_02_55_36,7
2022_04_11_02_57_37,16
2022_04_11_02_59_37,9
2022_04_11_03_01_38,10
2022_04_11_03_05_40,11
2022_04_11_03_09_41,9
2022_04_11_03_11_42,10
2022_04_11_03_13_43,12
2022_04_11_03_15_43,5
2022_04_11_03_17_44,6
2022_04_11_03_23_46,11
2022_04_11_03_27_48,11
2022_04_11_03_31_50,7
2022_04_11_03_35_51,12
2022_04_11_03_37_52,7
2022_04_11_03_41_53,13
2022_04_11_03_43_54,9
2022_04_11_03_45_55,8
2022_04_11_03_47_56,10
2022_04_11_03_49_56,12
2022_04_11_03_51_57,9
2022_04_11_03_55_59,11
2022_04_11_03_57_59,13
2022_04_11_04_00_01,15
2022_04_11_04_02_02,5
2022_04_11_04_04_03,11
2022_04_11_04_08_04,11
2022_04_11_04_10_06,9
2022_04_11_04_14_07,12
2022_04_11_04_16_08,13
2022_04_11_04_20_10,5
2022_04_11_04_24_12,3
2022_04_11_04_26_12,6
2022_04_11_04_28_13,3
2022_04_11_04_30_14,2
2022_04_11_04_32_15,7
2022_04_11_04_34_16,2
2022_04_11_04_36_17,2
2022_04_11_04_38_18,0
2022_04_11_04_42_19,2
2022_04_11_04_44_20,1
2022_04_11_04_48_21,1
2022_04_11_04_52_24,4
2022_04_11_04_54_25,1
2022_04_11_04_58_27,2
2022_04_11_05_04_30,4
2022_04_11_05_06_31,5
2022_04_11_05_10_32,2
2022_04_11_05_12_33,1
2022_04_11_05_14_34,5
2022_04_11_05_16_35,1
2022_04_11_05_18_36,3
2022_04_11_05_20_37,2
2022_04_11_05_24_38,4
2022_04_11_05_26_39,2
2022_04_11_05_28_40,2
2022_04_11_05_30_41,11
2022_04_11_05_36_43,7
2022_04_11_05_40_45,15
2022_04_11_05_42_45,13
2022_04_11_05_46_48,10
2022_04_11_05_48_49,12
2022_04_11_05_52_51,8
2022_04_11_05_54_51,14
2022_04_11_05_56_53,11
2022_04_11_05_58_54,12
2022_04_11_06_02_56,11
2022_04_11_06_04_56,10
2022_04_11_06_06_57,16
2022_04_11_06_08_58,8
2022_04_11_06_13_00,8
2022_04_11_06_15_01,13
2022_04_11_06_17_02,12
2022_04_11_06_23_05,11
2022_04_11_06_25_06,13
2022_04_11_06_27_07,11
2022_04_11_06_33_09,9
2022_04_11_06_35_10,14
2022_04_11_06_37_11,12
2022_04_11_06_39_12,12
2022_04_11_06_43_14,14
2022_04_11_06_45_15,14
2022_04_11_06_47_16,13
2022_04_11_06_51_19,10
2022_04_11_06_53_20,12
2022_04_11_06_55_21,12
2022_04_11_06_57_22,12
2022_04_11_06_59_22,13
2022_04_11_07_01_23,9
2022_04_11_07_03_24,9
2022_04_11_07_05_25,8
2022_04_11_07_09_26,10
2022_04_11_07_11_27,14
2022_04_11_07_13_27,9
2022_04_11_07_15_28,10
2022_04_11_07_21_30,8
2022_04_11_07_23_31,9
2022_04_11_07_25_32,11
2022_04_11_07_27_32,13
2022_04_11_07_29_33,9
2022_04_11_07_33_35,11
2022_04_11_07_35_35,8
2022_04_11_07_37_36,7
2022_04_11_07_41_38,7
2022_04_11_07_45_40,9
2022_04_11_07_51_55,12
2022_04_11_07_53_56,10
2022_04_11_07_55_57,9
2022_04_11_07_57_59,7
2022_04_11_08_02_01,5
2022_04_11_08_04_02,7
2022_04_11_08_06_03,8
2022_04_11_08_08_04,6
2022_04_11_08_10_05,8
2022_04_11_08_12_06,5
2022_04_11_08_14_07,4
2022_04_11_08_16_07,3
2022_04_11_08_18_09,0
2022_04_11_08_20_10,1
2022_04_11_08_22_11,3
2022_04_11_08_24_12,3
2022_04_11_08_30_15,7
2022_04_11_08_32_16,1
2022_04_11_08_34_16,4
2022_04_11_08_36_17,3
2022_04_11_08_42_20,4
2022_04_11_08_46_22,3
